customer_id,credit_score,monthly_income,loan_amount,monthly_emi,outstanding_amount,overdue_amount,emi_delay_count,previous_payment_delays,complaint_count,negative_sentiment_count,transaction_count,transaction_anomaly_count,employment_type,default_next_90_days
C0073,620,48671,486000,11700,383000,21600,2,2,2,0,59,2,Freelance,1
C0074,602,47865,283000,9800,74700,0,0,0,1,0,48,0,Business Owner,0
C0075,599,42593,418000,12700,330400,13900,1,1,1,1,77,1,Salaried,0
C0076,633,84499,1080000,22900,935100,0,0,0,0,0,76,0,Self-Employed,1
C0077,627,38486,518000,12100,482100,13500,1,4,3,0,35,0,Business Owner,1
C0078,767,46380,544000,16900,266800,0,0,0,1,1,75,0,Self-Employed,0
C0079,666,76254,482000,13900,424100,31000,2,4,1,0,44,0,Freelance,1
C0080,741,20000,146000,4200,41000,0,0,1,0,0,64,0,Freelance,0
C0081,555,42778,166000,3700,93900,12000,3,4,1,0,39,2,Freelance,1
C0082,762,55237,302000,6500,110500,12200,2,3,2,1,47,2,Self-Employed,1
C0083,511,212963,2343000,51800,407600,171300,3,3,1,1,41,1,Business Owner,1
C0084,692,58834,528000,15500,446200,0,0,0,1,0,56,0,Self-Employed,0
C0085,704,33619,504000,10400,469600,0,0,1,1,0,40,0,Self-Employed,0
C0086,727,69604,875000,23200,703700,46300,2,2,1,1,17,0,Business Owner,1
C0087,693,34542,381000,11200,198400,44900,4,6,1,1,57,1,Freelance,1
C0088,659,59637,842000,17600,755700,17300,1,2,2,1,27,0,Freelance,1
C0089,724,30206,156000,4300,111900,9800,2,4,1,1,39,0,Business Owner,1
C0090,771,42173,582000,14700,197600,0,0,0,1,0,49,0,Self-Employed,0
C0091,721,33946,453000,10500,102600,21400,2,4,3,1,75,1,Self-Employed,0
C0092,725,110657,696000,14700,152100,0,0,0,0,0,34,0,Freelance,0
C0093,630,69611,660000,21900,442700,0,0,0,0,0,75,0,Salaried,1
C0094,724,50919,260000,7900,80800,0,0,0,0,0,68,0,Salaried,0
C0095,637,24256,117000,4100,104300,0,0,0,0,0,48,0,Salaried,0
C0096,736,79090,272000,6700,98100,0,0,0,1,0,25,0,Self-Employed,0
C0097,679,74551,1111000,36400,352000,0,0,0,1,1,55,0,Self-Employed,1
C0098,584,41088,466000,11700,433600,0,0,0,0,0,89,0,Freelance,0
C0099,477,50613,241000,6100,49300,6100,1,4,2,1,72,0,Salaried,1
C0100,662,103296,382000,13300,75000,0,0,1,0,0,38,0,Freelance,0
C0101,681,34051,509000,16400,326900,38200,2,4,1,1,54,2,Freelance,1
C0102,633,20000,65000,1600,49300,2900,2,2,4,0,9,2,Freelance,1
C0103,584,48047,331000,10300,175700,11400,1,6,1,1,43,0,Business Owner,1
C0104,702,73112,758000,15900,428100,44100,3,5,1,0,30,0,Salaried,1
C0105,734,87457,457000,10300,104500,0,0,0,0,0,62,0,Salaried,0
C0106,654,43242,449000,14200,298600,0,0,0,2,1,72,0,Business Owner,0
C0107,650,32221,456000,10700,204200,10000,1,3,2,0,50,0,Business Owner,0
C0108,747,32636,278000,9100,203700,0,0,0,0,0,52,0,Salaried,0
C0109,779,49544,584000,16400,363400,0,0,0,0,0,50,0,Business Owner,0
C0110,659,48542,289000,8900,272700,9500,1,2,2,1,42,0,Freelance,1
C0111,617,67787,983000,25100,404500,28000,1,4,3,1,17,0,Self-Employed,1
C0112,635,176151,1886000,39600,1158000,0,0,0,0,0,33,0,Freelance,0
C0113,769,35431,407000,13000,229500,0,0,0,0,0,43,0,Salaried,0
C0114,598,123877,1317000,41900,322200,135300,3,4,1,1,47,0,Business Owner,0
C0115,642,22084,298000,9700,89100,0,0,0,0,0,48,0,Self-Employed,0
C0116,752,72334,355000,10300,91700,0,0,0,1,0,27,0,Salaried,0
C0117,612,30902,374000,10000,288500,18400,2,2,1,1,58,0,Business Owner,1
C0118,685,63447,904000,18800,438500,54100,3,5,3,1,37,0,Self-Employed,1
C0119,761,185644,813000,26700,592100,83100,3,4,1,1,76,1,Self-Employed,1
C0120,791,50438,429000,8900,334200,8900,1,1,2,2,50,0,Business Owner,1
C0121,675,33930,472000,13300,258800,28100,2,6,2,2,46,0,Self-Employed,1
C0122,628,82041,1090000,36600,405000,0,0,0,0,0,50,0,Salaried,0
C0123,621,54275,738000,23700,409000,0,0,0,1,0,23,0,Business Owner,0
C0124,823,54829,750000,15900,551400,66200,4,7,2,2,54,2,Freelance,1
C0125,634,39920,286000,7700,214200,0,0,0,0,0,45,0,Salaried,0
C0126,775,27981,107000,2400,89300,8000,3,4,1,0,54,2,Salaried,1
C0127,730,85378,523000,17600,359100,0,0,0,0,0,47,0,Business Owner,0
C0128,664,30598,107000,3300,94600,15100,4,6,0,0,35,2,Business Owner,1
C0129,709,122895,511000,12100,81700,0,0,0,0,0,63,0,Self-Employed,0
C0130,714,76846,778000,26000,232000,27900,1,2,3,2,62,1,Salaried,1
C0131,463,68798,468000,12400,359900,0,0,1,0,0,66,0,Self-Employed,1
C0132,602,49765,379000,10400,254600,0,0,0,1,0,43,0,Salaried,0
C0133,662,20000,107000,3100,40100,5600,2,2,1,0,64,1,Salaried,1
C0134,710,44790,348000,7400,224000,8200,1,3,1,0,20,0,Freelance,0
C0135,741,105415,708000,22900,647100,0,0,0,0,0,74,0,Salaried,0
C0136,507,34215,152000,4000,114100,4000,1,4,1,1,46,0,Self-Employed,1
C0137,544,35497,314000,9000,58100,20800,2,4,3,1,70,2,Self-Employed,1
C0138,669,73526,502000,14400,224400,0,0,0,1,0,25,1,Freelance,0
C0139,784,98502,698000,14700,333400,0,0,0,0,0,79,0,Self-Employed,0
C0140,680,38644,563000,14500,102000,13200,1,1,2,1,43,1,Business Owner,1
C0141,556,23315,165000,4600,45100,0,0,0,1,0,25,0,Freelance,0
C0142,579,31808,464000,13200,198500,0,0,0,0,0,5,2,Self-Employed,0
C0143,768,130505,1364000,31400,635800,74700,2,3,4,1,33,2,Self-Employed,1
C0144,670,27274,403000,11000,338900,0,0,0,0,0,34,0,Business Owner,0
C0145,764,54809,809000,21100,656900,0,0,0,1,0,41,0,Freelance,0
C0146,727,20000,210000,7100,34700,0,0,0,1,0,27,0,Business Owner,0
C0147,756,63357,414000,8400,306500,0,0,0,0,0,57,0,Freelance,0
C0148,618,54497,482000,10200,229400,11700,1,2,1,1,45,0,Freelance,0
C0149,551,33477,194000,4700,153800,0,0,0,1,0,56,2,Salaried,0
C0150,788,25478,114000,3800,63000,0,0,0,0,0,25,0,Self-Employed,0
C0151,698,97231,899000,19900,692500,43300,2,3,0,0,45,0,Self-Employed,1
C0152,653,52976,693000,13900,240800,0,0,0,0,0,58,0,Salaried,0
C0153,667,78628,1094000,28100,1007900,61200,2,3,1,0,62,3,Business Owner,1
C0154,687,54103,356000,7700,276100,0,0,0,0,0,19,0,Salaried,0
C0155,639,45529,556000,14600,449100,0,0,0,0,0,40,0,Self-Employed,0
C0156,620,39775,430000,13400,173100,0,0,0,1,1,35,0,Self-Employed,0
C0157,739,37926,120000,3100,50400,3200,1,2,2,2,23,0,Salaried,0
C0158,715,49503,223000,4500,170800,0,0,0,0,0,62,0,Salaried,0
C0159,759,24941,366000,12000,61800,0,0,0,1,0,37,0,Salaried,0
C0160,813,46454,403000,8400,369200,0,0,0,1,1,22,0,Self-Employed,0
C0161,782,64786,644000,14300,514500,0,0,0,1,0,40,0,Salaried,0
C0162,654,52885,252000,5100,165000,0,0,0,1,0,81,0,Salaried,0
C0163,665,97384,931000,24700,172300,22600,1,1,4,1,16,0,Business Owner,1
C0164,695,35207,520000,11900,407700,0,0,1,1,1,43,0,Salaried,0
C0165,791,88224,437000,12400,335300,0,0,0,0,0,22,0,Self-Employed,0
C0166,642,55990,456000,9300,243800,0,0,0,0,0,20,0,Business Owner,0
C0167,688,65766,479000,15200,168000,0,0,0,0,0,45,0,Freelance,0
C0168,647,69089,995000,28600,496800,0,0,0,1,0,41,0,Self-Employed,0
C0169,563,48725,492000,11200,204300,0,0,0,0,0,45,0,Self-Employed,0
C0170,641,79131,896000,28300,603700,116300,4,5,0,0,57,0,Freelance,0
C0171,621,29389,195000,4600,29500,0,0,1,0,0,56,0,Self-Employed,0
C0172,775,30013,384000,8700,171600,0,0,0,2,0,34,0,Freelance,0
C0173,718,36875,369000,12700,67900,28600,2,3,0,0,55,2,Freelance,1
C0174,654,120283,1690000,51400,1239100,0,0,0,1,0,52,0,Self-Employed,0
C0175,679,68485,518000,11600,403500,0,0,0,0,0,17,0,Salaried,0
C0176,720,50256,182000,5000,131900,0,0,0,1,0,36,0,Salaried,0
C0177,764,66736,401000,11800,243600,0,0,1,0,0,46,0,Freelance,0
C0178,779,22981,161000,5000,76300,16600,3,4,1,1,65,0,Business Owner,1
C0179,646,55834,354000,8500,175400,0,0,0,0,0,72,0,Freelance,0
C0180,591,21362,132000,3000,70800,2800,1,4,2,2,66,0,Freelance,1
C0181,732,22736,305000,10400,71600,44800,4,6,3,1,55,0,Freelance,1
C0182,725,29441,433000,9300,67800,0,0,0,2,0,75,0,Salaried,0
C0183,805,93450,552000,17000,123200,66300,4,5,1,0,43,1,Salaried,1
C0184,633,55254,797000,26000,632900,0,0,1,0,0,70,0,Salaried,0
C0185,665,35962,505000,14500,293200,15800,1,4,2,1,35,0,Freelance,1
C0186,682,20000,73000,2000,65100,5700,3,5,0,0,54,2,Business Owner,1
C0187,624,57814,374000,9200,130900,0,0,0,0,0,53,0,Salaried,0
C0188,669,57753,419000,11600,378300,0,0,0,0,0,19,1,Self-Employed,0
C0189,693,53227,638000,17000,407300,37700,2,2,1,0,47,0,Self-Employed,1
C0190,657,60626,440000,9500,144300,0,0,0,0,0,20,0,Self-Employed,0
C0191,761,139277,1113000,29400,648600,0,0,0,0,0,63,0,Freelance,0
C0192,700,30994,137000,3400,36200,0,0,0,0,0,5,0,Self-Employed,0
C0193,676,33439,325000,9600,227800,9600,1,6,2,2,67,1,Freelance,1
C0194,747,20000,292000,6100,195200,6100,1,4,1,1,34,0,Self-Employed,0
C0195,732,27754,244000,4900,193600,0,0,0,0,0,70,0,Business Owner,0
C0196,588,50445,558000,16400,415000,19100,1,6,2,2,33,0,Freelance,1
C0197,748,45325,412000,9400,87200,0,0,0,1,0,61,0,Self-Employed,0
C0198,566,85180,531000,12100,374700,27700,2,3,2,0,27,1,Salaried,1
C0199,653,62678,607000,12500,414900,57700,4,8,1,0,65,2,Freelance,1
C0200,672,38105,174000,3500,76300,0,0,0,0,0,56,0,Salaried,1
C0201,710,84583,826000,24300,695100,0,0,0,2,0,20,0,Salaried,0
C0202,663,64876,605000,14000,572600,0,0,0,1,0,43,0,Salaried,0
C0203,724,45243,227000,6200,159500,0,0,0,0,0,67,0,Salaried,0
C0204,838,37590,490000,11000,81000,0,0,0,1,0,45,0,Self-Employed,0
C0205,699,27570,174000,5900,107300,0,0,0,0,0,30,0,Self-Employed,0
C0206,706,73100,405000,13300,347800,46700,3,6,4,1,41,0,Freelance,1
C0207,665,22599,141000,3000,40000,17100,5,8,1,0,38,0,Freelance,1
C0208,649,57874,412000,13600,112900,31000,2,3,0,0,51,0,Freelance,1
C0209,673,32320,216000,7000,42200,0,0,0,1,0,53,0,Self-Employed,0
C0210,657,74800,400000,10900,297300,0,0,0,1,1,35,0,Freelance,0
C0211,700,26172,260000,7100,173100,15200,2,4,1,0,52,0,Salaried,0
C0212,685,61239,289000,7400,227800,0,0,0,0,0,54,0,Self-Employed,0
C0213,651,64180,395000,7900,334400,0,0,0,1,0,32,0,Freelance,0
C0214,627,33980,472000,12800,246900,0,0,0,0,0,35,0,Salaried,1
C0215,691,20000,208000,7000,116000,0,0,0,0,0,66,0,Freelance,1
C0216,555,42161,152000,4700,36400,0,0,0,0,0,36,0,Business Owner,1
C0217,621,71607,797000,22700,712000,26100,1,1,2,1,46,1,Freelance,1
C0218,806,80235,546000,17900,495600,0,0,0,0,0,62,0,Business Owner,0
C0219,592,25856,102000,2700,36600,8200,3,4,1,0,50,0,Freelance,0
C0220,686,20000,119000,3200,80900,0,0,0,0,0,27,0,Freelance,0
C0221,770,28193,176000,4000,52400,0,0,0,1,0,12,0,Self-Employed,0
C0222,570,132407,658000,14300,386500,0,0,0,1,1,79,1,Self-Employed,0
C0223,717,63144,269000,7700,140200,35400,5,5,2,2,49,0,Business Owner,1
C0224,527,31882,115000,2400,80900,2600,1,2,3,1,34,0,Self-Employed,1
C0225,558,20000,262000,6100,119200,0,0,0,0,0,52,0,Salaried,0
C0226,706,130429,442000,12000,210500,24600,2,5,0,0,57,1,Salaried,0
C0227,714,89198,667000,15900,156500,0,0,0,1,0,23,0,Business Owner,0
C0228,672,37621,189000,6300,112600,14700,2,4,4,2,74,2,Salaried,1
C0229,692,91803,1206000,31900,546600,0,0,0,1,0,57,0,Salaried,0
C0230,800,34680,248000,7500,197000,0,0,0,1,1,74,0,Freelance,0
C0231,576,65263,436000,12300,210900,12500,1,4,0,0,63,0,Self-Employed,1
C0232,719,40985,579000,15200,110300,32700,2,3,0,0,46,0,Salaried,0
C0233,541,58132,669000,16100,584300,33100,2,2,2,0,43,0,Salaried,0
C0234,447,40643,285000,7400,163600,14000,2,4,1,1,73,0,Self-Employed,1
C0235,721,41656,573000,14000,191400,0,0,0,1,0,38,0,Salaried,0
C0236,792,27699,173000,3700,163300,19200,5,10,2,1,38,3,Salaried,1
C0237,697,92914,1148000,23200,923800,104800,4,6,2,0,36,1,Self-Employed,1
C0238,809,77548,768000,20300,284700,0,0,0,1,0,30,0,Freelance,0
C0239,765,57683,204000,6300,86300,0,0,1,0,0,25,0,Salaried,0
C0240,760,26174,382000,7900,329400,0,0,0,0,0,48,0,Self-Employed,0
C0241,594,42625,493000,12000,281200,0,0,1,1,0,42,0,Salaried,0
C0242,732,27754,294000,8500,47900,0,0,0,0,0,29,0,Salaried,0
C0243,698,67727,287000,7500,210400,0,0,0,0,0,21,0,Freelance,0
C0244,728,195436,786000,22200,356800,0,0,0,0,0,33,0,Business Owner,0
C0245,793,20000,270000,9400,166400,0,0,0,0,0,66,0,Business Owner,0
C0246,606,57717,574000,17500,407800,0,0,1,0,0,23,0,Self-Employed,0
C0247,846,29514,390000,8900,97700,0,0,0,0,0,29,0,Business Owner,0
C0248,774,153154,889000,26300,716600,52200,2,3,5,1,55,1,Self-Employed,1
C0249,650,45352,553000,16900,229500,0,0,0,1,0,48,1,Business Owner,0
C0250,665,38285,347000,7800,234700,0,0,0,0,0,12,0,Freelance,0
C0251,637,53576,684000,23300,457600,0,0,0,0,0,12,0,Self-Employed,1
C0252,590,40972,484000,11200,95300,0,0,0,1,0,48,0,Business Owner,0
C0253,663,73273,480000,10600,130200,0,0,0,0,0,66,0,Freelance,0
C0254,767,60885,755000,18200,681500,81300,4,5,0,0,57,1,Business Owner,1
C0255,626,40073,332000,9800,151000,20200,2,4,0,0,49,2,Salaried,1
C0256,717,96096,766000,26300,446500,0,0,0,0,0,70,0,Salaried,0
C0257,632,55132,458000,10300,136300,10500,1,1,2,1,31,0,Freelance,0
C0258,761,53556,519000,17900,98100,19000,1,1,1,1,15,0,Salaried,0
C0259,705,52339,247000,6400,146700,6700,1,3,1,1,72,0,Salaried,1
C0260,653,44058,227000,7300,157100,0,0,0,1,0,66,2,Self-Employed,0
C0261,683,50291,286000,7400,136600,0,0,0,1,0,75,0,Business Owner,0
C0262,616,60608,484000,13700,228500,0,0,1,0,0,26,0,Self-Employed,0
C0263,789,27326,241000,6300,105100,0,0,0,0,0,82,0,Business Owner,0
C0264,676,45243,559000,15900,200600,0,0,0,1,0,24,0,Salaried,0
C0265,707,172090,1111000,22300,607700,71900,3,3,1,1,60,1,Self-Employed,1
C0266,676,50256,164000,5400,100300,0,0,0,1,0,47,0,Business Owner,0
C0267,629,33704,225000,6400,139600,0,0,0,0,0,46,0,Business Owner,0
C0268,779,40210,127000,3800,87000,0,0,1,0,0,43,0,Self-Employed,0
C0269,718,54147,810000,24900,307600,0,0,0,0,0,36,1,Freelance,0
C0270,589,71652,867000,27200,346900,30900,1,4,4,2,45,0,Business Owner,1
C0271,783,71829,416000,10800,152000,30900,3,7,2,0,27,0,Salaried,1
C0272,700,54522,361000,11900,301700,0,0,0,1,0,45,0,Business Owner,0
C0273,651,34062,430000,14200,111700,0,0,0,0,0,59,0,Salaried,0
C0274,747,87169,525000,17400,149700,49600,3,5,2,2,67,2,Self-Employed,1
C0275,777,83173,612000,20300,446900,24100,1,2,2,0,42,0,Business Owner,0
C0276,713,49997,371000,9400,157800,0,0,0,1,0,41,0,Salaried,0
C0277,548,20066,249000,5700,200700,0,0,0,0,0,46,0,Salaried,0
C0278,679,49539,696000,17500,134900,15800,1,1,3,0,47,1,Self-Employed,1
C0279,682,29116,209000,5400,135200,0,0,0,0,0,43,0,Business Owner,0
C0280,832,36217,330000,10900,278100,39100,3,5,2,2,27,0,Business Owner,1
C0281,733,37180,262000,8500,39400,8100,1,2,1,1,7,0,Self-Employed,0
C0282,667,41633,274000,6800,77100,0,0,0,0,0,53,0,Business Owner,0
C0283,663,54730,725000,14600,405600,0,0,1,2,0,27,0,Self-Employed,0
C0284,582,53089,600000,13500,238900,0,0,0,1,0,29,0,Business Owner,0
C0285,649,46080,237000,6100,215200,21900,3,3,2,1,66,0,Freelance,1
C0286,762,24064,175000,3900,109800,0,0,0,0,0,30,0,Business Owner,0
C0287,601,98960,1275000,29400,669700,0,0,0,0,0,25,0,Salaried,0
C0288,631,24545,97000,2200,37700,9200,4,4,0,0,56,1,Salaried,1
C0289,803,163915,876000,19700,773700,0,0,0,1,1,62,0,Freelance,0
C0290,557,44438,530000,17900,259200,90000,5,6,4,2,70,2,Business Owner,1
C0291,635,45934,359000,10800,183200,0,0,0,0,0,50,0,Salaried,0
C0292,670,112690,630000,21700,454900,0,0,0,0,0,26,0,Salaried,0
C0293,740,27072,354000,10000,96500,0,0,0,1,1,67,0,Business Owner,0
C0294,652,33313,426000,12300,198100,0,0,1,0,0,54,0,Self-Employed,0
C0295,721,32301,304000,9000,93400,10400,1,2,5,0,38,0,Business Owner,0
C0296,587,58297,441000,12900,408300,0,0,1,1,0,65,0,Self-Employed,0
C0297,515,58577,541000,12400,429600,12200,1,3,4,1,44,0,Freelance,0
C0298,682,42824,509000,13900,111100,0,0,0,0,0,5,0,Freelance,0
C0299,640,67283,359000,9900,274600,18000,2,2,0,0,43,2,Salaried,1
C0300,638,46908,394000,11300,239000,11400,1,1,0,0,60,0,Salaried,0
C0301,615,79090,539000,18300,105100,0,0,1,0,0,31,1,Salaried,0
C0302,604,49876,159000,5500,71800,0,0,0,1,0,48,0,Self-Employed,0
C0303,706,74619,1029000,30200,262400,28800,1,4,2,1,38,0,Salaried,0
C0304,648,42074,229000,7200,112300,0,0,0,0,0,46,0,Business Owner,0
C0305,663,71693,929000,20400,834500,0,0,1,1,1,67,0,Self-Employed,0
C0306,727,36499,433000,9100,199100,10400,1,5,2,1,65,0,Freelance,0
C0307,810,40686,234000,4900,91200,0,0,0,0,0,47,1,Self-Employed,0
C0308,814,80822,649000,19800,310600,0,0,0,1,0,47,0,Salaried,0
C0309,700,62424,623000,19900,524300,0,0,0,0,0,31,0,Business Owner,0
C0310,660,57491,743000,21100,143900,0,0,0,0,0,37,0,Business Owner,0
C0311,758,34338,297000,7000,84000,0,0,1,0,0,77,2,Salaried,1
C0312,702,38001,243000,5500,44100,17200,3,3,2,1,52,1,Business Owner,1
C0313,489,38256,522000,17400,218500,68500,4,6,1,1,32,3,Self-Employed,1
C0314,616,52821,256000,6800,142900,6700,1,1,4,0,45,0,Self-Employed,1
C0315,828,38527,455000,15900,172900,0,0,0,0,0,90,0,Salaried,0
C0316,692,128794,1917000,55900,856500,0,0,0,0,0,70,0,Business Owner,0
C0317,532,76575,974000,23000,320900,25200,1,1,3,1,64,0,Freelance,1
C0318,619,43527,370000,9600,312100,56100,5,7,2,2,42,0,Self-Employed,1
C0319,518,46600,247000,6100,229700,6700,1,3,2,1,72,0,Self-Employed,0
C0320,561,44168,203000,7000,42300,6900,1,3,1,1,34,0,Self-Employed,0
C0321,589,31369,285000,9000,238400,0,0,0,1,0,14,0,Self-Employed,0
C0322,754,36514,238000,6400,174100,0,0,1,0,0,58,0,Freelance,0
C0323,547,63046,548000,13700,336200,0,0,0,0,0,9,0,Salaried,0
C0324,587,32126,275000,6000,245400,0,0,0,0,0,55,0,Self-Employed,0
C0325,702,89120,959000,25800,549500,53200,2,2,1,0,62,0,Business Owner,1
C0326,490,136084,583000,17300,492300,0,0,0,0,0,37,0,Freelance,0
C0327,769,58976,680000,14700,502300,28900,2,4,1,1,53,1,Self-Employed,1
C0328,669,74864,260000,6600,210900,0,0,0,0,0,58,0,Business Owner,0
C0329,620,50100,735000,18700,391200,37200,2,4,0,0,63,2,Self-Employed,1
C0330,615,47164,521000,16800,180100,53700,3,4,1,1,41,0,Salaried,1
C0331,696,41790,417000,9500,125300,8700,1,3,2,1,58,0,Freelance,0
C0332,595,67170,486000,10600,123400,0,0,1,1,0,78,0,Salaried,0
C0333,731,61386,395000,11700,158500,0,0,0,0,0,29,0,Freelance,0
C0334,713,36718,331000,11100,88500,0,0,0,0,0,71,0,Self-Employed,0
C0335,698,47936,312000,7600,135300,0,0,0,1,1,57,0,Self-Employed,0
C0336,732,47345,527000,12900,158400,12000,1,1,2,0,24,0,Freelance,1
C0337,787,26092,246000,7400,171200,0,0,0,0,0,48,0,Business Owner,0
C0338,720,31595,350000,12100,328500,0,0,0,1,0,41,0,Business Owner,0
C0339,534,36357,442000,15000,398900,55200,4,5,2,1,71,0,Self-Employed,1
C0340,735,26680,210000,6100,49600,29300,4,5,1,1,37,3,Self-Employed,1
C0341,639,32059,135000,3300,108400,3400,1,3,1,1,48,1,Salaried,0
C0342,664,89014,1024000,31700,296100,63900,2,2,4,3,74,1,Self-Employed,1
